team_code,first_name,last_name,position,games_played,points,goals,assists,total_shots,shots_on_goal,turnovers,caused_turnovers,groundballs,1_point_goals,1_point_shots,2_point_goals,2_point_shots,faceoff_wins,faceoffs_taken,games_played,points,goals,assists,total_shots,shots_on_goal,turnovers,caused_turnovers,groundballs,1_point_goals,1_point_shots,2_point_goals,2_point_shots,faceoff_wins,faceoffs_taken
RED,Sergio,Perkovic,Midfield,10,10,9,1,43,21,6,1,4,9,29,0,14,0,0,3,6,4,0,11,7,2,2,2,2,7,2,4,0,0
RED,Sergio,Salcido,Midfield,9,20,10,9,43,20,5,0,10,9,40,1,3,0,0,3,1,0,1,13,6,2,0,0,0,13,0,0,0,0
RED,Clarke,Petterson,Attack,7,12,9,3,22,12,5,1,7,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RED,Tim,Troutner,Goalie,10,1,0,1,0,0,5,1,16,0,0,0,0,0,0,3,0,0,0,0,0,2,0,5,0,0,0,0,0,0
RED,Ryder,Garnsey,Midfield,9,24,14,10,40,28,13,1,11,14,40,0,0,0,0,3,10,6,4,15,9,5,2,4,6,15,0,0,0,0
RED,Tyler,Dunn,Midfield,5,0,0,0,2,0,0,1,5,0,2,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RED,Jules,Heningburg,Attack,10,33,21,12,54,32,21,0,8,21,54,0,0,0,0,3,6,4,2,14,9,4,0,1,4,14,0,0,0,0
RED,Wes,Berg,Attack,5,4,4,0,8,7,3,0,4,4,8,0,0,0,0,2,5,5,0,15,11,0,0,5,5,15,0,0,0,0
RED,Jerry,Ragonese,Faceoff,1,0,0,0,0,0,0,1,0,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHP,Ben,Reeves,Attack,8,13,6,7,26,17,7,0,9,6,23,0,3,0,0,2,3,2,1,6,3,3,0,1,2,6,0,0,0,0
WHP,Brett,Schmidt,Defense,5,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WHP,Bryce,Young,Defense,10,5,2,3,6,3,6,12,34,2,4,0,2,0,0,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0
WHP,Charlie,Raffa,Faceoff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHP,Connor,Kelly,Midfield,8,18,10,8,41,21,7,1,3,10,40,0,1,0,0,2,4,2,2,11,7,1,0,2,2,9,0,2,0,0
WHP,Dan,Morris,Goalie,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHP,Drew,Snider,Midfield,10,9,6,3,30,20,3,5,12,6,29,0,1,0,0,2,4,4,0,10,8,3,1,2,4,9,0,1,0,0
WHP,Dylan,Maltz,Attack,3,0,0,0,7,5,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHP,Dylan,O’Shaughnessy,Defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHP,Foster,Huggins,Defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHP,Jake,Bernhardt,Midfield,9,7,5,2,20,13,6,3,7,5,17,0,3,0,1,2,1,1,0,3,1,1,0,4,1,3,0,0,0,1
WHP,Jay,Carlson,Attack,4,5,3,2,12,8,1,0,5,3,12,0,0,0,0,1,1,1,0,2,2,1,1,2,1,2,0,0,0,0
WHP,Jeff,Reynolds,Midfield,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHP,Jeremy,Sieverts,Midfield,4,4,3,1,10,5,2,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHP,Joe,Locascio,Midfield,8,5,3,2,23,9,4,0,2,3,18,0,5,0,0,2,2,2,0,9,4,0,0,0,2,7,0,2,0,0
WHP,Joseph,Nardella,Faceoff,10,12,6,6,15,9,8,4,72,6,15,0,0,127,234,2,1,1,0,5,3,1,0,13,1,5,0,0,24,45
