full_name,team_code,number,position,games_played,points,goals,assists,1_point_attempts,1_point_percent,2_point_attempts,2_point_percent,total_shots,shooting_percent,shots_on_goal,turnovers,caused_turnovers,groundballs,faceoff_attempts,faceoff_win_percent,first_name,last_name,1_point_goals,1_point_shots,2_point_goals,2_point_shots,faceoff_wins,faceoffs_taken
Joel Tinney,ATL,55,Midfield,2,3,0,3,0-4,0.0%,0-0,0.0%,4,0.0%,4,3,0,1,0-0,0.0%,Joel,Tinney,0,4,0,0,0,0
John Crawley,ATL,14,Midfield,2,4,2,2,2-7,28.5%,0-0,0.0%,7,28.5%,2,2,1,1,0-0,0.0%,John,Crawley,2,7,0,0,0,0
Kevin Unterstein,ATL,13,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Kevin,Unterstein,0,0,0,0,0,0
Kieran McArdle,ATL,6,Attack,1,2,1,1,1-6,16.6%,0-0,0.0%,6,16.6%,3,5,0,2,0-0,0.0%,Kieran,McArdle,1,6,0,0,0,0
Jack Concannon,ATL,12,Goalie,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,0,2,0-0,0.0%,Jack,Concannon,0,0,0,0,0,0
Kyle Hartzell,ATL,81,Defense,2,0,0,0,0-0,0.0%,0-1,0.0%,1,0.0%,0,1,0,5,4-13,30.7%,Kyle,Hartzell,0,0,0,1,4,13
Pat Young,ATL,2,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Pat,Young,0,0,0,0,0,0
Paul Rabil,ATL,99,Midfield,2,4,2,2,2-11,18.1%,0-2,0.0%,13,15.3%,8,3,0,1,0-0,0.0%,Paul,Rabil,2,11,0,2,0,0
Ryan Brown,ATL,4,Attack,2,2,2,0,2-9,22.2%,0-0,0.0%,9,22.2%,5,1,0,1,0-0,0.0%,Ryan,Brown,2,9,0,0,0,0
Scott Rodgers,ATL,42,Goalie,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,0,0,0-0,0.0%,Scott,Rodgers,0,0,0,0,0,0
Shack Stanwick,ATL,-,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Shack,Stanwick,0,0,0,0,0,0
Steven Brooks,ATL,44,Midfield,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,1,0-0,0.0%,Steven,Brooks,0,0,0,0,0,0
Steven DeNapoli,ATL,7,Midfield,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Steven,DeNapoli,0,0,0,0,0,0
Tal Bruno,ATL,-,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Tal,Bruno,0,0,0,0,0,0
Tim Semisch,ATL,-,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Tim,Semisch,0,0,0,0,0,0
Trevor Baptiste,ATL,9,Faceoff,1,0,0,0,0-1,0.0%,0-2,0.0%,3,0.0%,0,0,0,8,13-24,54.1%,Trevor,Baptiste,0,1,0,2,13,24
Tucker Durkin,ATL,51,Defense,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,3,5,0-0,0.0%,Tucker,Durkin,0,0,0,0,0,0
Ryan Conrad,ATL,22,Midfield,1,2,1,1,1-1,100.0%,0-0,0.0%,1,100.0%,1,1,1,2,0-0,0.0%,Ryan,Conrad,1,1,0,0,0,0
Noah Richard,ATL,25,Defense,2,2,1,1,1-1,100.0%,0-0,0.0%,1,100.0%,1,0,0,3,1-6,16.6%,Noah,Richard,1,1,0,0,1,6
Cade Van Raaphorst,ATL,77,Defense,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,3,5,0-0,0.0%,Cade,Van,0,0,0,0,0,0
Brent Noseworthy,ATL,19,A,1,1,1,0,1-2,50.0%,0-0,0.0%,2,50.0%,2,1,0,0,0-0,0.0%,Brent,Noseworthy,1,2,0,0,0,0
Brent Hiken,ATL,30,Faceoff,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,4-17,23.5%,Brent,Hiken,0,0,0,0,4,17
Austin Staats,CHA,-,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Austin,Staats,0,0,0,0,0,0
Billy-Dee Smith,CHA,-,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Billy-Dee,Smith,0,0,0,0,0,0
Blaze Riorden,CHA,0,Goalie,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,3,6,0-0,0.0%,Blaze,Riorden,0,0,0,0,0,0
Brad Self,CHA,-,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Brad,Self,0,0,0,0,0,0
Brodie Merrill,CHA,17,Defense,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,4,0-0,0.0%,Brodie,Merrill,0,0,0,0,0,0
Charlie Cipriano,CHA,25,Goalie,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Charlie,Cipriano,0,0,0,0,0,0
Connor Fields,CHA,5,Attack,2,4,2,2,2-8,25.0%,0-0,0.0%,8,25.0%,6,7,0,3,0-0,0.0%,Connor,Fields,2,8,0,0,0,0
Curtis Dickson,CHA,-,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Curtis,Dickson,0,0,0,0,0,0
Dan Coates,CHA,37,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Dan,Coates,0,0,0,0,0,0
Deemer Class,CHA,10,Midfield,1,0,0,0,0-2,0.0%,0-2,0.0%,4,0.0%,1,0,0,0,0-0,0.0%,Deemer,Class,0,2,0,2,0,0
Dhane Smith,CHA,92,Midfield,2,4,3,1,3-4,75.0%,0-0,0.0%,4,75.0%,4,1,0,0,0-0,0.0%,Dhane,Smith,3,4,0,0,0,0
Jake Froccaro,CHA,54,Midfield,2,2,2,0,2-9,22.2%,0-3,0.0%,12,16.6%,7,1,1,2,0-0,0.0%,Jake,Froccaro,2,9,0,3,0,0
Jarrod Neumann,CHA,88,Defense,2,0,0,0,0-0,0.0%,0-2,0.0%,2,0.0%,1,2,1,1,0-0,0.0%,Jarrod,Neumann,0,0,0,2,0,0
Jeremy Thompson,CHA,74,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Jeremy,Thompson,0,0,0,0,0,0
Joe Resetarits,CHA,55,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Joe,Resetarits,0,0,0,0,0,0
Josh Byrne,CHA,22,Attack,2,4,2,2,2-3,66.6%,0-0,0.0%,3,66.6%,2,1,0,1,0-0,0.0%,Josh,Byrne,2,3,0,0,0,0
Kevin Buchanan,CHA,27,Midfield,2,2,1,1,1-6,16.6%,0-0,0.0%,6,16.6%,5,0,0,1,0-0,0.0%,Kevin,Buchanan,1,6,0,0,0,0
Kyle McClancy,CHA,40,Midfield,2,0,0,0,0-1,0.0%,0-0,0.0%,1,0.0%,1,0,0,1,0-0,0.0%,Kyle,McClancy,0,1,0,0,0,0
Mark Glicini,CHA,16,Midfield,2,0,0,0,0-0,0.0%,0-1,0.0%,1,0.0%,1,4,0,5,0-0,0.0%,Mark,Glicini,0,0,0,1,0,0
Matt Rees,CHA,44,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Matt,Rees,0,0,0,0,0,0
Miles Thompson,CHA,2,Attack,2,4,2,2,2-7,28.5%,0-0,0.0%,7,28.5%,5,1,0,4,0-0,0.0%,Miles,Thompson,2,7,0,0,0,0
Myles Jones,CHA,15,Midfield,2,3,2,1,2-7,28.5%,0-1,0.0%,8,25.0%,5,4,2,4,0-0,0.0%,Myles,Jones,2,7,0,1,0,0
Patrick Resch,CHA,34,Midfield,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,0,0,0-0,0.0%,Patrick,Resch,0,0,0,0,0,0
Thomas Kelly,CHA,24,Faceoff,2,0,0,0,0-2,0.0%,0-0,0.0%,2,0.0%,1,0,0,8,20-42,47.6%,Thomas,Kelly,0,2,0,0,20,42
Troy Reh,CHA,77,Defense,2,0,0,0,0-0,0.0%,0-2,0.0%,2,0.0%,1,2,2,6,0-0,0.0%,Troy,Reh,0,0,0,2,0,0
Tyson Bell,CHA,-,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Tyson,Bell,0,0,0,0,0,0
Eric Scott,CHA,4,Midfield,2,0,0,0,0-2,0.0%,0-0,0.0%,2,0.0%,2,1,0,3,0-0,0.0%,Eric,Scott,0,2,0,0,0,0
Jack Rowlett,CHA,99,Defense,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,0,4,0-1,0.0%,Jack,Rowlett,0,0,0,0,0,1
Johnny Surdick,CHA,18,Defense,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Johnny,Surdick,0,0,0,0,0,0
Greyson Torain,CHA,6,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Greyson,Torain,0,0,0,0,0,0
Mike Bocklet,CHA,7,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Mike,Bocklet,0,0,0,0,0,0
Jake Stover,CHA,19,Goalie,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Jake,Stover,0,0,0,0,0,0
Austin Henningsen,CHA,8,FO,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,1,1-2,50.0%,Austin,Henningsen,0,0,0,0,1,2
BJ Grill,CHR,8,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,BJ,Grill,0,0,0,0,0,0
Brandon Mullins,CHR,7,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Brandon,Mullins,0,0,0,0,0,0
Brett Queener,CHR,23,Goalie,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,1,3,0-0,0.0%,Brett,Queener,0,0,0,0,0,0
Callum Crawford,CHR,-,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Callum,Crawford,0,0,0,0,0,0
Chris Bocklet,CHR,10,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Chris,Bocklet,0,0,0,0,0,0
Drew Simoneau,CHR,17,Faceoff,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Drew,Simoneau,0,0,0,0,0,0
Joel White,CHR,11,Defense,2,1,1,0,1-2,50.0%,0-1,0.0%,3,33.3%,2,2,3,8,0-1,0.0%,Joel,White,1,2,0,1,0,1
John Galloway,CHR,15,Goalie,2,0,0,0,0-0,0.0%,0-1,0.0%,1,0.0%,1,1,1,4,0-0,0.0%,John,Galloway,0,0,0,1,0,0
John Lade,CHR,-,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,John,Lade,0,0,0,0,0,0
John Moderski,CHR,24,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,John,Moderski,0,0,0,0,0,0
John Ranagan,CHR,31,Midfield,2,0,0,0,0-3,0.0%,0-1,0.0%,4,0.0%,2,4,0,0,0-1,0.0%,John,Ranagan,0,3,0,1,0,1
Jordan MacIntosh,CHR,29,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Jordan,MacIntosh,0,0,0,0,0,0
Jordan Wolf,CHR,32,Attack,2,7,6,1,6-12,50.0%,0-0,0.0%,12,50.0%,9,4,0,3,0-0,0.0%,Jordan,Wolf,6,12,0,0,0,0
Jovan Miller,CHR,-,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Jovan,Miller,0,0,0,0,0,0
Justin Guterding,CHR,14,Attack,2,8,5,2,4-18,22.2%,1-1,100.0%,19,26.3%,10,4,1,4,0-0,0.0%,Justin,Guterding,4,18,1,1,0,0
Justin Turri,CHR,-,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Justin,Turri,0,0,0,0,0,0
Luke Duprey,CHR,9,Defense,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-1,0.0%,Luke,Duprey,0,0,0,0,0,1
Matt Danowski,CHR,40,Midfield,2,0,0,0,0-3,0.0%,0-1,0.0%,4,0.0%,2,1,0,1,0-0,0.0%,Matt,Danowski,0,3,0,1,0,0
Michael Manley,CHR,5,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Michael,Manley,0,0,0,0,0,0
Mike O'Neil,CHR,37,Midfield,2,1,1,0,1-3,33.3%,0-0,0.0%,3,33.3%,2,1,1,3,0-1,0.0%,Mike,O'Neil,1,3,0,0,0,1
Ned Crotty,CHR,22,Midfield,2,1,0,1,0-1,0.0%,0-1,0.0%,2,0.0%,2,4,0,1,0-0,0.0%,Ned,Crotty,0,1,0,1,0,0
Romar Dennis,CHR,1,Midfield,2,0,0,0,0-3,0.0%,0-2,0.0%,5,0.0%,4,2,0,3,0-0,0.0%,Romar,Dennis,0,3,0,2,0,0
Ty Thompson,CHR,91,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Ty,Thompson,0,0,0,0,0,0
